"","Theatre","Year","Show","Month","Capacity","Attendance","Gross"
"1667","Cort",2012,"Grace",11,43.5,3669,288362.25
"1668","Cort",2012,"Grace",12,50.8,4516.4,340398.4
"1669","Cort",2012,"Stick Fly",1,62.8,5445.8,297210
"1670","Cort",2012,"Stick Fly",2,63,5440.75,312479
"1671","Cort",2012,"The Lyons",4,65.75,5228,126188.25
"1672","Cort",2012,"The Lyons",5,45.5,3919.5,212024
"1673","Cort",2012,"The Lyons",6,47.25,4080.75,228179.25
"1674","Cort",2012,"The Lyons",7,52,4508,243525
"1675","Cort",2013,"Breakfast At Tiffany'S",3,74,6155,378578.75
"1676","Cort",2013,"Breakfast At Tiffany'S",4,51.3333333333333,4417.33333333333,320540.666666667
"1677","Cort",2013,"Grace",1,67,5781,418788
"1678","Cort",2013,"No Man'S Land/Waiting For Godot",10,93,1986,202787
"1679","Cort",2013,"No Man'S Land/Waiting For Godot",11,90,7474,578783.25
"1680","Cort",2013,"No Man'S Land/Waiting For Godot",12,90.6,7792.6,736472
"1681","Cort",2014,"No Man'S Land/Waiting For Godot",1,86.25,7392,698583.5
"1682","Cort",2014,"No Man'S Land/Waiting For Godot",2,76.25,6328,562502.75
"1683","Cort",2014,"No Man'S Land/Waiting For Godot",3,82.2,7045,620377
"1684","Cort",2014,"The Cripple Of Inishmaan",4,94.3333333333333,5960,399309.333333333
"1685","Cort",2014,"The Cripple Of Inishmaan",5,73.75,6344,561001.75
"1686","Cort",2014,"The Cripple Of Inishmaan",6,68.6,5898.2,519790.4
"1687","Cort",2014,"The Cripple Of Inishmaan",7,83.3333333333333,7157.33333333333,601576.666666667
"1688","Cort",2014,"This Is Our Youth",8,77,6104.5,377993
"1689","Cort",2014,"This Is Our Youth",9,74,6276,388308.75
"1690","Cort",2014,"This Is Our Youth",10,63.5,5410.5,389409
"1691","Cort",2014,"This Is Our Youth",11,54.6,4629,318834.6
"1692","Cort",2014,"This Is Our Youth",12,67.25,5519.75,299776.75
"1693","Cort",2015,"Fish In The Dark",2,101.666666666667,7980,1062392
"1694","Cort",2015,"Fish In The Dark",3,101.8,8716.6,1156522.2
"1695","Cort",2015,"Fish In The Dark",4,101.75,8715,1182493
"1696","Cort",2015,"Fish In The Dark",5,101.6,8710.2,1197861.2
"1697","Cort",2015,"Fish In The Dark",6,94,8036.75,946634.25
"1698","Cort",2015,"Fish In The Dark",7,92.75,7951.5,833871.25
"1699","Cort",2015,"Fish In The Dark",8,97,8354,841809
"1700","Cort",2015,"Sylvia",10,72.5,5075.25,324570.5
"1701","Cort",2015,"Sylvia",11,64.2,5495.2,334198.8
"1702","Cort",2015,"Sylvia",12,64,5299.75,273099.25
"1703","Cort",2015,"This Is Our Youth",1,86,8236,569187
"1704","Cort",2016,"Bright Star",2,77,3238,206573
"1705","Cort",2016,"Bright Star",3,82,6699.25,313676
"1706","Cort",2016,"Bright Star",4,68.5,5741.75,397857.5
"1707","Cort",2016,"Bright Star",5,72.8,6093.2,439750
"1708","Cort",2016,"Bright Star",6,84,7003.75,555759.25
"1709","Cort",2016,"Sylvia",1,72,6950,391703
"1710","Ethel Barrymore",2000,"Putting It Together",1,62,5319,299204.2
"1711","Ethel Barrymore",2000,"Putting It Together",2,64.6666666666667,5662.33333333333,299242.333333333
"1712","Ethel Barrymore",2000,"The Real Thing '00",4,68.8,5854.4,261509.4
"1713","Ethel Barrymore",2000,"The Real Thing '00",5,59.25,5034.75,266124.75
"1714","Ethel Barrymore",2000,"The Real Thing '00",6,65.5,5556.25,283406.25
"1715","Ethel Barrymore",2000,"The Real Thing '00",7,72,6122.2,292612
"1716","Ethel Barrymore",2000,"The Real Thing '00",8,81,6887.5,338539.5
"1717","Ethel Barrymore",2000,"The Tale Of The Allergist'S Wife",10,93,6804.66666666667,296832.666666667
"1718","Ethel Barrymore",2000,"The Tale Of The Allergist'S Wife",11,88.5,7414.5,353647.25
"1719","Ethel Barrymore",2000,"The Tale Of The Allergist'S Wife",12,83.4,6990.2,361926
"1720","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",1,70.25,5889,299200.5
"1721","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",2,78,6534.5,327249.5
"1722","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",3,79.25,6629.5,321913.75
"1723","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",4,73.8,6186.2,303494.6
"1724","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",5,77.75,6506.75,313309.75
"1725","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",6,83.5,6982.25,327902.75
"1726","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",7,84,7020.2,325410
"1727","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",8,68,5706.75,270485.75
"1728","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",9,64,5137.8,239445.4
"1729","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",10,91.25,7632.25,360026.75
"1730","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",11,73.5,6158.5,300554.75
"1731","Ethel Barrymore",2001,"The Tale Of The Allergist'S Wife",12,77.6,6493.6,326073.2
"1732","Ethel Barrymore",2002,"Imaginary Friends",12,50.4,4303.4,268105.8
"1733","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",1,74.25,6230.5,286720.25
"1734","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",2,76,6345.25,299966.25
"1735","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",3,70.8,5911.2,283292.6
"1736","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",4,61.5,5169.25,249132.5
"1737","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",5,54.25,4554.25,226463.25
"1738","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",6,49.8,4178,193639
"1739","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",7,57.5,4815.75,216360
"1740","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",8,66.75,5579.25,249433.25
"1741","Ethel Barrymore",2002,"The Tale Of The Allergist'S Wife",9,56.3333333333333,4699.33333333333,214786.666666667
"1742","Ethel Barrymore",2003,"Imaginary Friends",1,51.25,4341,238598.5
"1743","Ethel Barrymore",2003,"Imaginary Friends",2,46,3878.33333333333,187675.666666667
"1744","Ethel Barrymore",2003,"Salome",4,78.6666666666667,4755.66666666667,303491.333333333
"1745","Ethel Barrymore",2003,"Salome",5,90.75,5916,389667
"1746","Ethel Barrymore",2003,"Salome",6,98.6666666666667,6083.33333333333,411095.333333333
"1747","Ethel Barrymore",2004,"Sly Fox",3,74.6666666666667,4633.33333333333,292921.333333333
"1748","Ethel Barrymore",2004,"Sly Fox",4,74.5,6462.25,418263.25
"1749","Ethel Barrymore",2004,"Sly Fox",5,66.4,5605.8,336741.6
"1750","Ethel Barrymore",2004,"Sly Fox",6,79.5,6695.5,356302.5
"1751","Ethel Barrymore",2004,"Sly Fox",7,71.25,6042.75,309709.5
"1752","Ethel Barrymore",2004,"Sly Fox",8,54.2,4572,244300.8
"1753","Ethel Barrymore",2005,"The Glass Menagerie 05",2,79,4146,259565
"1754","Ethel Barrymore",2005,"The Glass Menagerie 05",3,63.75,5399.5,320402.25
"1755","Ethel Barrymore",2005,"The Glass Menagerie 05",4,49.25,4179,262883
"1756","Ethel Barrymore",2005,"The Glass Menagerie 05",5,45.8,3861.2,216139
"1757","Ethel Barrymore",2005,"The Glass Menagerie 05",6,43.5,3657,176604.25
"1758","Ethel Barrymore",2005,"The Glass Menagerie 05",7,48,4034,194024
"1759","Ethel Barrymore",2006,"Company 06",11,73.25,6200,424716.5
"1760","Ethel Barrymore",2006,"Company 06",12,77.8,6560.4,503848.2
"1761","Ethel Barrymore",2006,"Ring Of Fire",2,63.6666666666667,5146,252929.333333333
"1762","Ethel Barrymore",2006,"Ring Of Fire",3,54.5,4618.5,244509.75
"1763","Ethel Barrymore",2006,"Ring Of Fire",4,39.4,3342.2,207658.6
"1764","Ethel Barrymore",2007,"Company 06",1,64.75,5430.75,402244.75
"1765","Ethel Barrymore",2007,"Company 06",2,61.5,5145,360434.25
"1766","Ethel Barrymore",2007,"Company 06",3,58,4855.25,321517.25
"1767","Ethel Barrymore",2007,"Company 06",4,48.6,4063.4,256424.4
"1768","Ethel Barrymore",2007,"Company 06",5,45.25,3791.75,242131.75
"1769","Ethel Barrymore",2007,"Company 06",6,53.5,4483.75,264662.5
"1770","Ethel Barrymore",2007,"Company 06",7,84,7007,448158
"1771","Ethel Barrymore",2007,"November",12,64.5,4785.5,335449
"1772","Ethel Barrymore",2008,"November",1,71.75,6073.75,412346.25
"1773","Ethel Barrymore",2008,"November",2,64.75,5476.25,419487.25
"1774","Ethel Barrymore",2008,"November",3,80.4,6822.4,481805.6
"1775","Ethel Barrymore",2008,"November",4,64,5420.75,394133
"1776","Ethel Barrymore",2008,"November",5,50,4259.5,297177.25
"1777","Ethel Barrymore",2008,"November",6,52.2,4419.4,293079.6
"1778","Ethel Barrymore",2008,"November",7,55.5,4687.5,278373.5
"1779","Ethel Barrymore",2008,"Speed The Plow '08",10,69.75,5117.25,318689.5
"1780","Ethel Barrymore",2008,"Speed The Plow '08",11,76.6,6478.8,525071.2
"1781","Ethel Barrymore",2008,"Speed The Plow '08",12,62.75,5283.25,430258
"1782","Ethel Barrymore",2009,"Exit The King",3,75.5,4926.5,304553
"1783","Ethel Barrymore",2009,"Exit The King",4,88,7368.5,509630.5
"1784","Ethel Barrymore",2009,"Exit The King",5,76.2,6402.4,454960
"1785","Ethel Barrymore",2009,"Exit The King",6,91,7618.5,585923
"1786","Ethel Barrymore",2009,"Race",11,76,6450,483883.5
"1787","Ethel Barrymore",2009,"Race",12,77.75,6594.5,548089.25
"1788","Ethel Barrymore",2009,"Speed The Plow '08",1,57,4817.25,350535.25
"1789","Ethel Barrymore",2009,"Speed The Plow '08",2,63.5,5364.25,363451.5
"1790","Ethel Barrymore",2010,"Elling",11,63.25,5166.25,171709.25
"1791","Ethel Barrymore",2010,"Race",1,68.4,5799.4,505187.6
"1792","Ethel Barrymore",2010,"Race",2,64.25,5442.25,440529.5
"1793","Ethel Barrymore",2010,"Race",3,55,4671,352399.5
"1794","Ethel Barrymore",2010,"Race",4,55,4648.25,345688.5
"1795","Ethel Barrymore",2010,"Race",5,52,4397.2,331544
"1796","Ethel Barrymore",2010,"Race",6,50.25,4247,278049.5
"1797","Ethel Barrymore",2010,"Race",7,48,4059,237476.5
"1798","Ethel Barrymore",2010,"Race",8,44.5,3766,244888.5
"1799","Ethel Barrymore",2011,"An Evening With Patti Lupone And Mandy Patinkin",11,71.5,4918.5,336417.5
"1800","Ethel Barrymore",2011,"An Evening With Patti Lupone And Mandy Patinkin",12,57,4391.5,423349.75
"1801","Ethel Barrymore",2011,"Arcadia '11",2,92,948,74305
"1802","Ethel Barrymore",2011,"Arcadia '11",3,83.25,6698.25,415175.25
"1803","Ethel Barrymore",2011,"Arcadia '11",4,52.5,4337.25,347003
"1804","Ethel Barrymore",2011,"Arcadia '11",5,47.6,3931.8,230011.4
"1805","Ethel Barrymore",2011,"Arcadia '11",6,53.6666666666667,4437.33333333333,202903.333333333
"1806","Ethel Barrymore",2012,"An Evening With Patti Lupone And Mandy Patinkin",1,64.6666666666667,4736.66666666667,458246.666666667
"1807","Ethel Barrymore",2012,"Chaplin",8,72,5996,356882
"1808","Ethel Barrymore",2012,"Chaplin",9,81.8,6846.6,456621.6
"1809","Ethel Barrymore",2012,"Chaplin",10,77,6427,501939.75
"1810","Ethel Barrymore",2012,"Chaplin",11,58.75,4770,347887.75
"1811","Ethel Barrymore",2012,"Chaplin",12,63,5271,393941.8
"1812","Ethel Barrymore",2012,"Death Of A Salesman '12",2,93.5,6368,652870.5
"1813","Ethel Barrymore",2012,"Death Of A Salesman '12",3,99,7169.5,673122.75
"1814","Ethel Barrymore",2012,"Death Of A Salesman '12",4,99.6,6603,793451.6
"1815","Ethel Barrymore",2012,"Death Of A Salesman '12",5,99.75,7221.75,959227.5
"1816","Ethel Barrymore",2012,"Death Of A Salesman '12",6,100,7234,1066582
"1817","Ethel Barrymore",2013,"Betrayal '13",10,100,7897.5,1141773
"1818","Ethel Barrymore",2013,"Betrayal '13",11,100,8424,1251874.25
"1819","Ethel Barrymore",2013,"Betrayal '13",12,100,8634.6,1311954
"1820","Ethel Barrymore",2013,"Chaplin",1,81,6776,509381
"1821","Ethel Barrymore",2013,"Macbeth '13",4,85.75,4235.5,344656.5
"1822","Ethel Barrymore",2013,"Macbeth '13",5,73.5,4586.5,415714.5
"1823","Ethel Barrymore",2013,"Macbeth '13",6,61.8,3862.4,295762.4
"1824","Ethel Barrymore",2013,"Macbeth '13",7,72.5,4540.5,341283.5
"1825","Ethel Barrymore",2014,"A Raisin In The Sun '14",3,100,6276,821341
"1826","Ethel Barrymore",2014,"A Raisin In The Sun '14",4,100,8368,1127027.5
"1827","Ethel Barrymore",2014,"A Raisin In The Sun '14",5,100,8368,1189402.5
"1828","Ethel Barrymore",2014,"A Raisin In The Sun '14",6,100,8368,1234159
"1829","Ethel Barrymore",2014,"Betrayal '13",1,100,9477,1367059
"1830","Ethel Barrymore",2014,"The Curious Incident Of The Dog In The Night-Time",9,96.6666666666667,5623.66666666667,448663.666666667
"1831","Ethel Barrymore",2014,"The Curious Incident Of The Dog In The Night-Time",10,97.75,7722,747670.75
"1832","Ethel Barrymore",2014,"The Curious Incident Of The Dog In The Night-Time",11,97,7910.2,904095.2
"1833","Ethel Barrymore",2014,"The Curious Incident Of The Dog In The Night-Time",12,94,7655.75,928923.5
"1834","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",1,98.25,8014,913585.25
"1835","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",2,89.75,7297,763562.75
"1836","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",3,89,7240.4,737435.8
"1837","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",4,90,7337.5,746338.75
"1838","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",5,87.8,7146.8,712870.8
"1839","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",6,97.75,7964.5,894662.5
"1840","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",7,95,7724.5,885219.5
"1841","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",8,91.2,7432.2,814127.4
"1842","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",9,88.5,7205.5,702140.75
"1843","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",10,85.5,6969.75,702632.5
"1844","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",11,80.8,6565.4,617154.6
"1845","Ethel Barrymore",2015,"The Curious Incident Of The Dog In The Night-Time",12,78,6347.75,602577.5
"1846","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",1,86.4,6682.2,552737.6
"1847","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",2,74.5,6052.25,467373.5
"1848","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",3,77.25,6301,482263
"1849","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",4,73,5947.75,445693.5
"1850","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",5,66.8,5412,392691.2
"1851","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",6,62.25,5072.5,372809.25
"1852","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",7,71.6,5838,417283.2
"1853","Ethel Barrymore",2016,"The Curious Incident Of The Dog In The Night-Time",8,78.5,6375.5,465782
"1854","Eugene O'Neill",2000,"The Full Monty",10,83.2,7052.8,390772
"1855","Eugene O'Neill",2000,"The Full Monty",11,92.5,8053.5,568980.75
"1856","Eugene O'Neill",2000,"The Full Monty",12,95,8299.6,625524.2
"1857","Eugene O'Neill",2000,"Waiting In The Wings",2,80,4292.5,215262
"1858","Eugene O'Neill",2000,"Waiting In The Wings",3,68,5851,239272
"1859","Eugene O'Neill",2000,"Waiting In The Wings",4,58.4,5041.4,217479
"1860","Eugene O'Neill",2000,"Waiting In The Wings",5,60.75,5230.5,223165
"1861","Eugene O'Neill",2000,"Wrong Mountain",1,27.2,2357,61908.6
"1862","Eugene O'Neill",2000,"Wrong Mountain",2,43,3763,108741
"1863","Eugene O'Neill",2001,"The Full Monty",1,86.75,7542.25,520327.75
"1864","Eugene O'Neill",2001,"The Full Monty",2,87.75,7616.25,499800.25
"1865","Eugene O'Neill",2001,"The Full Monty",3,88.25,7690.25,490098
"1866","Eugene O'Neill",2001,"The Full Monty",4,92.8,8072.6,507003.6
"1867","Eugene O'Neill",2001,"The Full Monty",5,94.5,8214.25,527131.25
"1868","Eugene O'Neill",2001,"The Full Monty",6,94.25,8189.75,544368.25
"1869","Eugene O'Neill",2001,"The Full Monty",7,91,7937.6,552687
"1870","Eugene O'Neill",2001,"The Full Monty",8,90.75,7878.5,546210
"1871","Eugene O'Neill",2001,"The Full Monty",9,74,6227.4,393468
"1872","Eugene O'Neill",2001,"The Full Monty",10,93.25,8116.75,511642.5
"1873","Eugene O'Neill",2001,"The Full Monty",11,89.5,7804,494354.5
"1874","Eugene O'Neill",2001,"The Full Monty",12,89.2,7975,535930.4
"1875","Eugene O'Neill",2002,"The Full Monty",1,89.5,7576.25,440732.25
"1876","Eugene O'Neill",2002,"The Full Monty",2,89.25,7765.5,444288.75
"1877","Eugene O'Neill",2002,"The Full Monty",3,92.4,8021.6,455420.8
"1878","Eugene O'Neill",2002,"The Full Monty",4,81.75,7094.75,416624
"1879","Eugene O'Neill",2002,"The Full Monty",5,72.5,6303.25,369565.25
"1880","Eugene O'Neill",2002,"The Full Monty",6,71.4,6192,350424
"1881","Eugene O'Neill",2002,"The Full Monty",7,76.5,6652.25,333372.75
"1882","Eugene O'Neill",2002,"The Full Monty",8,87.75,7620.75,376071
"1883","Eugene O'Neill",2002,"The Full Monty",9,100,8674,471602
"1884","Eugene O'Neill",2003,"Nine",3,91,5710.5,458147
"1885","Eugene O'Neill",2003,"Nine",4,91.5,7403.25,552448.75
"1886","Eugene O'Neill",2003,"Nine",5,99.5,8333.75,620773.5
"1887","Eugene O'Neill",2003,"Nine",6,102,8573.6,654313.6
"1888","Eugene O'Neill",2003,"Nine",7,102,8586,772025.75
"1889","Eugene O'Neill",2003,"Nine",8,102.4,8358.8,759037.6
"1890","Eugene O'Neill",2003,"Nine",9,102.25,8569,767015.5
"1891","Eugene O'Neill",2003,"Nine",10,91.5,7677.5,605645.5
"1892","Eugene O'Neill",2003,"Nine",11,74.2,6239.2,447540.2
"1893","Eugene O'Neill",2003,"Nine",12,75,6334.5,478186
"1894","Eugene O'Neill",2004,"Caroline, Or Change",4,70.5,6009,338983
"1895","Eugene O'Neill",2004,"Caroline, Or Change",5,76.2,6128.4,405181
"1896","Eugene O'Neill",2004,"Caroline, Or Change",6,74.25,6276.25,417880.5
"1897","Eugene O'Neill",2004,"Caroline, Or Change",7,69.75,5893.75,358149
"1898","Eugene O'Neill",2004,"Caroline, Or Change",8,69.2,5830.8,343945.8
"1899","Eugene O'Neill",2004,"Good Vibrations",12,52,3901,255720
"1900","Eugene O'Neill",2005,"Good Vibrations",1,65,5769.8,358139.8
"1901","Eugene O'Neill",2005,"Good Vibrations",2,56,4841.75,327097.5
"1902","Eugene O'Neill",2005,"Good Vibrations",3,60.75,5235,304243.25
"1903","Eugene O'Neill",2005,"Good Vibrations",4,51.5,4428.25,234821
"1904","Eugene O'Neill",2005,"Sweeney Todd 05",10,78.25,6888.25,460273.75
"1905","Eugene O'Neill",2005,"Sweeney Todd 05",11,82.25,7260,562437.5
"1906","Eugene O'Neill",2005,"Sweeney Todd 05",12,67.75,5994.75,517809
"1907","Eugene O'Neill",2006,"Spring Awakening",11,46,3202.5,167860
"1908","Eugene O'Neill",2006,"Spring Awakening",12,62,5416.8,341839.8
"1909","Eugene O'Neill",2006,"Sweeney Todd 05",1,86.2,7607.4,616130.8
"1910","Eugene O'Neill",2006,"Sweeney Todd 05",2,77.75,6865.5,510603.25
"1911","Eugene O'Neill",2006,"Sweeney Todd 05",3,82.25,7263.75,513352.5
"1912","Eugene O'Neill",2006,"Sweeney Todd 05",4,72.8,6423.2,466037.4
"1913","Eugene O'Neill",2006,"Sweeney Todd 05",5,54.75,4830.25,367346.75
"1914","Eugene O'Neill",2006,"Sweeney Todd 05",6,53.5,4710.5,346281.75
"1915","Eugene O'Neill",2006,"Sweeney Todd 05",7,59.6,5273,353236.6
"1916","Eugene O'Neill",2006,"Sweeney Todd 05",8,66.75,5905.25,349612.25
"1917","Eugene O'Neill",2006,"Sweeney Todd 05",9,84,7445,530349
"1918","Eugene O'Neill",2007,"Spring Awakening",1,79.25,6901.75,480836.25
"1919","Eugene O'Neill",2007,"Spring Awakening",2,83.25,7252.75,544024.25
"1920","Eugene O'Neill",2007,"Spring Awakening",3,82.5,7197.75,538628.5
"1921","Eugene O'Neill",2007,"Spring Awakening",4,77.2,6732.4,513380.8
"1922","Eugene O'Neill",2007,"Spring Awakening",5,78.5,6854.25,527539.25
"1923","Eugene O'Neill",2007,"Spring Awakening",6,94.75,8254.75,669361.75
"1924","Eugene O'Neill",2007,"Spring Awakening",7,98.2,8553.6,775118.2
"1925","Eugene O'Neill",2007,"Spring Awakening",8,100.75,8773.5,809542.75
"1926","Eugene O'Neill",2007,"Spring Awakening",9,90,7848.6,659577.6
"1927","Eugene O'Neill",2007,"Spring Awakening",10,97.75,8535.75,731810.25
"1928","Eugene O'Neill",2007,"Spring Awakening",11,84,5501,454239
"1929","Eugene O'Neill",2007,"Spring Awakening",12,84.2,7007,613998.4
"1930","Eugene O'Neill",2008,"Spring Awakening",1,83.5,7299,539359.5
"1931","Eugene O'Neill",2008,"Spring Awakening",2,84.5,7388.75,516479
"1932","Eugene O'Neill",2008,"Spring Awakening",3,91,7927.8,577858.8
"1933","Eugene O'Neill",2008,"Spring Awakening",4,71.25,6203,446365.25
"1934","Eugene O'Neill",2008,"Spring Awakening",5,73.75,6430,462930.75
"1935","Eugene O'Neill",2008,"Spring Awakening",6,67,5823.2,383459
"1936","Eugene O'Neill",2008,"Spring Awakening",7,80.25,6991.5,441803.25
"1937","Eugene O'Neill",2008,"Spring Awakening",8,73.8,6415.8,435665.2
"1938","Eugene O'Neill",2008,"Spring Awakening",9,59.25,5172,311524.25
"1939","Eugene O'Neill",2008,"Spring Awakening",10,63,5498.75,346736.5
"1940","Eugene O'Neill",2008,"Spring Awakening",11,58.4,5099,319465.8
"1941","Eugene O'Neill",2008,"Spring Awakening",12,70,6091.5,403879.5
"1942","Eugene O'Neill",2009,"33 Variations",2,54,4270,252028.5
"1943","Eugene O'Neill",2009,"33 Variations",3,59.2,5026.4,303124.6
"1944","Eugene O'Neill",2009,"33 Variations",4,56.5,4810,305522.25
"1945","Eugene O'Neill",2009,"33 Variations",5,56.25,4275,284633.25
"1946","Eugene O'Neill",2009,"Fela!",10,82,5037,219116
"1947","Eugene O'Neill",2009,"Fela!",11,84.8,6296.8,292191
"1948","Eugene O'Neill",2009,"Fela!",12,87.75,6798.75,550825.75
"1949","Eugene O'Neill",2009,"Spring Awakening",1,100.333333333333,8753,670844.666666667
"1950","Eugene O'Neill",2010,"Fela!",1,92.8,7844.2,623403
"1951","Eugene O'Neill",2010,"Fela!",2,83.25,6865.5,506279.75
"1952","Eugene O'Neill",2010,"Fela!",3,81.25,6684.5,486172.25
"1953","Eugene O'Neill",2010,"Fela!",4,81.5,6698.5,492249.5
"1954","Eugene O'Neill",2010,"Fela!",5,89,7342,543725.2
"1955","Eugene O'Neill",2010,"Fela!",6,89,7336,581278
"1956","Eugene O'Neill",2010,"Fela!",7,83.5,6878.5,527668
"1957","Eugene O'Neill",2010,"Fela!",8,77.6,6391,482370.4
"1958","Eugene O'Neill",2010,"Fela!",9,73.75,6087.5,453089.25
"1959","Eugene O'Neill",2010,"Fela!",10,77.6,6406.8,488228.4
"1960","Eugene O'Neill",2010,"Fela!",11,75.75,6242.25,483181.5
"1961","Eugene O'Neill",2010,"Fela!",12,89,7090,575510.5
"1962","Eugene O'Neill",2011,"Fela!",1,102,9493,997714
"1963","Eugene O'Neill",2011,"The Book Of Mormon",2,98,4195,460268
"1964","Eugene O'Neill",2011,"The Book Of Mormon",3,100,7459.5,625465.75
"1965","Eugene O'Neill",2011,"The Book Of Mormon",4,102,8736,961630.5
"1966","Eugene O'Neill",2011,"The Book Of Mormon",5,102,8736,1139414.8
"1967","Eugene O'Neill",2011,"The Book Of Mormon",6,102,8747.5,1191867.25
"1968","Eugene O'Neill",2011,"The Book Of Mormon",7,102,8752,1257846.8
"1969","Eugene O'Neill",2011,"The Book Of Mormon",8,102,7931.5,1157359.5
"1970","Eugene O'Neill",2011,"The Book Of Mormon",9,102.25,8752,1287815.75
"1971","Eugene O'Neill",2011,"The Book Of Mormon",10,103,8752,1336048
"1972","Eugene O'Neill",2011,"The Book Of Mormon",11,103,9025.5,1442929.25
"1973","Eugene O'Neill",2011,"The Book Of Mormon",12,103,8478.5,1333766.5
"1974","Eugene O'Neill",2012,"The Book Of Mormon",1,103,8970.8,1493669.6
"1975","Eugene O'Neill",2012,"The Book Of Mormon",2,103,8752,1470817.5
"1976","Eugene O'Neill",2012,"The Book Of Mormon",3,103,8752,1493872.75
"1977","Eugene O'Neill",2012,"The Book Of Mormon",4,103,8752,1576587.6
"1978","Eugene O'Neill",2012,"The Book Of Mormon",5,103,8752,1598412.5
"1979","Eugene O'Neill",2012,"The Book Of Mormon",6,103,8752,1604758.75
"1980","Eugene O'Neill",2012,"The Book Of Mormon",7,103,8752,1625983.6
"1981","Eugene O'Neill",2012,"The Book Of Mormon",8,103,8752,1637761.25
"1982","Eugene O'Neill",2012,"The Book Of Mormon",9,103,8752,1637590.6
"1983","Eugene O'Neill",2012,"The Book Of Mormon",10,103,8478.5,1601703.25
"1984","Eugene O'Neill",2012,"The Book Of Mormon",11,103,8478.5,1595479.75
"1985","Eugene O'Neill",2012,"The Book Of Mormon",12,103,8970.8,1776639.8
"1986","Eugene O'Neill",2013,"The Book Of Mormon",1,103,8752.5,1688846.5
"1987","Eugene O'Neill",2013,"The Book Of Mormon",2,103,8752,1630058
"1988","Eugene O'Neill",2013,"The Book Of Mormon",3,103,8752,1654936.6
"1989","Eugene O'Neill",2013,"The Book Of Mormon",4,103,8752,1682122.5
"1990","Eugene O'Neill",2013,"The Book Of Mormon",5,103,8752,1724756
"1991","Eugene O'Neill",2013,"The Book Of Mormon",6,103,8752,1734096.8
"1992","Eugene O'Neill",2013,"The Book Of Mormon",7,103,9025.5,1774704
"1993","Eugene O'Neill",2013,"The Book Of Mormon",8,103,8752,1729441.5
"1994","Eugene O'Neill",2013,"The Book Of Mormon",9,103,8752,1717553.8
"1995","Eugene O'Neill",2013,"The Book Of Mormon",10,103,8752,1776406.75
"1996","Eugene O'Neill",2013,"The Book Of Mormon",11,103,8752,1709933.25
"1997","Eugene O'Neill",2013,"The Book Of Mormon",12,103,8970.8,2002448.2
"1998","Eugene O'Neill",2014,"The Book Of Mormon",1,103,8752,1767137.75
"1999","Eugene O'Neill",2014,"The Book Of Mormon",2,102.75,8745,1642923.5
"2000","Eugene O'Neill",2014,"The Book Of Mormon",3,102.8,8748.2,1614169.8
"2001","Eugene O'Neill",2014,"The Book Of Mormon",4,103,8751.5,1637016.5
"2002","Eugene O'Neill",2014,"The Book Of Mormon",5,103,8750.75,1676793.5
