"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"6516","Palace","Aida","Musical","5/23/04",2004,5,10678,589460,79
"6517","Studio 54","Assassins","Musical","5/23/04",2004,5,6947,378624,95
"6518","Golden","Avenue Q","Musical","5/23/04",2004,5,6068,410559,95
"6519","Lunt-Fontanne","Beauty And The Beast","Musical","5/23/04",2004,5,9448,547269,78
"6520","Broadway","Bombay Dreams","Musical","5/23/04",2004,5,12387,798534,88
"6521","Eugene O'Neill","Caroline, Or Change","Musical","5/23/04",2004,5,7074,476055,84
"6522","Ambassador","Chicago","Musical","5/23/04",2004,5,7587,475791,88
"6523","Minskoff","Fiddler On The Roof 04","Musical","5/23/04",2004,5,11937,604576,88
"6524","Circle In The Square","Frozen","Play","5/23/04",2004,5,3312,141052,64
"6525","Helen Hayes","Golda'S Balcony","Play","5/23/04",2004,5,2734,135096,58
"6526","Shubert","Gypsy '03","Musical","5/23/04",2004,5,7867,466746,68
"6527","Neil Simon","Hairspray","Musical","5/23/04",2004,5,10752,889801,94
"6528","Lyceum","I Am My Own Wife","Play","5/23/04",2004,5,3678,184076,65
"6529","Brooks Atkinson","Jumpers","Play","5/23/04",2004,5,6089,363125,79
"6530","Virginia","Little Shop Of Horrors","Musical","5/23/04",2004,5,5989,328362,62
"6531","Cadillac Winter Garden","Mamma Mia!","Musical","5/23/04",2004,5,11944,972789,100
"6532","Lyceum","Marc Salem'S Mind Games","Special","5/23/04",2004,5,24,1037,337
"6533","Plymouth","Match","Play","5/23/04",2004,5,5975,273304,69
"6534","Richard Rodgers","Movin' Out","Musical","5/23/04",2004,5,8787,643411,83
"6535","Nederlander","Rent","Musical","5/23/04",2004,5,7209,322245,76
"6536","Biltmore","Sight Unseen","Play","5/23/04",2004,5,4134,202446,80
"6537","Ethel Barrymore","Sly Fox","Play","5/23/04",2004,5,6330,374107,75
"6538","Imperial","The Boy From Oz","Musical","5/23/04",2004,5,11292,882129,98
"6539","New Amsterdam","The Lion King","Musical","5/23/04",2004,5,14501,1131296,101
"6540","Majestic","The Phantom Of The Opera","Musical","5/23/04",2004,5,10696,572561,83
"6541","St. James","The Producers","Musical","5/23/04",2004,5,12014,913578,88
"6542","Marquis","Thoroughly Modern Millie","Musical","5/23/04",2004,5,7637,426498,60
"6543","American Airlines","Twentieth Century","Play","5/23/04",2004,5,5271,306437,89
"6544","Gershwin","Wicked","Musical","5/23/04",2004,5,14184,1106282,100
"6545","Al Hirschfeld","Wonderful Town","Musical","5/23/04",2004,5,6504,413961,57
"6546","Ford Center","42Nd Street '01","Musical","5/30/04",2004,5,10234,550952,71
"6547","Royale","A Raisin In The Sun","Play","5/30/04",2004,5,8420,597572,98
"6548","Palace","Aida","Musical","5/30/04",2004,5,10833,597688,80
"6549","Studio 54","Assassins","Musical","5/30/04",2004,5,6848,413359,94
"6550","Golden","Avenue Q","Musical","5/30/04",2004,5,6043,413925,95
"6551","Lunt-Fontanne","Beauty And The Beast","Musical","5/30/04",2004,5,9361,539936,78
"6552","Broadway","Bombay Dreams","Musical","5/30/04",2004,5,11889,772678,84
"6553","Eugene O'Neill","Caroline, Or Change","Musical","5/30/04",2004,5,6870,451301,81
"6554","Ambassador","Chicago","Musical","5/30/04",2004,5,7409,460708,86
"6555","Minskoff","Fiddler On The Roof 04","Musical","5/30/04",2004,5,11259,549727,83
"6556","Circle In The Square","Frozen","Play","5/30/04",2004,5,3896,163003,75
"6557","Helen Hayes","Golda'S Balcony","Play","5/30/04",2004,5,2707,127331,57
"6558","Shubert","Gypsy '03","Musical","5/30/04",2004,5,8543,497800,74
"6559","Neil Simon","Hairspray","Musical","5/30/04",2004,5,10626,879481,93
"6560","Lyceum","I Am My Own Wife","Play","5/30/04",2004,5,3007,148058,53
"6561","Brooks Atkinson","Jumpers","Play","5/30/04",2004,5,5481,318505,71
"6562","Virginia","Little Shop Of Horrors","Musical","5/30/04",2004,5,6046,323860,62
"6563","Cadillac Winter Garden","Mamma Mia!","Musical","5/30/04",2004,5,11187,917384,93
"6564","Lyceum","Marc Salem'S Mind Games","Special","5/30/04",2004,5,51,1929,716
"6565","Richard Rodgers","Movin' Out","Musical","5/30/04",2004,5,8230,579486,78
"6566","Nederlander","Rent","Musical","5/30/04",2004,5,7246,339546,77
"6567","Biltmore","Sight Unseen","Play","5/30/04",2004,5,3292,177792,63
"6568","Ethel Barrymore","Sly Fox","Play","5/30/04",2004,5,5809,325765,69
"6569","Imperial","The Boy From Oz","Musical","5/30/04",2004,5,11141,860414,97
"6570","New Amsterdam","The Lion King","Musical","5/30/04",2004,5,14487,1133668,101
"6571","Majestic","The Phantom Of The Opera","Musical","5/30/04",2004,5,10829,580064,84
"6572","St. James","The Producers","Musical","5/30/04",2004,5,11102,824711,81
"6573","Marquis","Thoroughly Modern Millie","Musical","5/30/04",2004,5,9209,417059,73
"6574","American Airlines","Twentieth Century","Play","5/30/04",2004,5,4693,264753,79
"6575","Gershwin","Wicked","Musical","5/30/04",2004,5,14184,1107202,100
"6576","Al Hirschfeld","Wonderful Town","Musical","5/30/04",2004,5,6185,395865,54
"6577","Ford Center","42Nd Street '01","Musical","6/6/04",2004,6,11187,604963,77
"6578","Royale","A Raisin In The Sun","Play","6/6/04",2004,6,7981,556362,93
"6579","Palace","Aida","Musical","6/6/04",2004,6,10296,554749,76
"6580","Studio 54","Assassins","Musical","6/6/04",2004,6,6835,392856,93
"6581","Golden","Avenue Q","Musical","6/6/04",2004,6,6095,401423,96
"6582","Lunt-Fontanne","Beauty And The Beast","Musical","6/6/04",2004,6,9858,556380,82
"6583","Broadway","Bombay Dreams","Musical","6/6/04",2004,6,10232,670853,73
"6584","Eugene O'Neill","Caroline, Or Change","Musical","6/6/04",2004,6,6794,436888,80
"6585","Ambassador","Chicago","Musical","6/6/04",2004,6,6258,403978,72
"6586","Minskoff","Fiddler On The Roof 04","Musical","6/6/04",2004,6,10069,567781,74
"6587","Circle In The Square","Frozen","Play","6/6/04",2004,6,3920,150497,75
"6588","Helen Hayes","Golda'S Balcony","Play","6/6/04",2004,6,2624,125834,56
"6589","Neil Simon","Hairspray","Musical","6/6/04",2004,6,10258,848590,90
"6590","Lyceum","I Am My Own Wife","Play","6/6/04",2004,6,2995,151099,53
"6591","Brooks Atkinson","Jumpers","Play","6/6/04",2004,6,5255,306919,68
"6592","Virginia","Little Shop Of Horrors","Musical","6/6/04",2004,6,5394,285202,56
"6593","Cadillac Winter Garden","Mamma Mia!","Musical","6/6/04",2004,6,11141,921813,93
"6594","Lyceum","Marc Salem'S Mind Games","Special","6/6/04",2004,6,159,5414,22
"6595","Richard Rodgers","Movin' Out","Musical","6/6/04",2004,6,7746,563456,73
"6596","Nederlander","Rent","Musical","6/6/04",2004,6,6260,292047,66
"6597","Biltmore","Sight Unseen","Play","6/6/04",2004,6,4459,233488,86
"6598","Ethel Barrymore","Sly Fox","Play","6/6/04",2004,6,6138,335218,73
"6599","Imperial","The Boy From Oz","Musical","6/6/04",2004,6,9876,772662,98
"6600","New Amsterdam","The Lion King","Musical","6/6/04",2004,6,14402,1126989,100
"6601","Majestic","The Phantom Of The Opera","Musical","6/6/04",2004,6,10447,556426,81
"6602","St. James","The Producers","Musical","6/6/04",2004,6,11434,859684,84
"6603","Marquis","Thoroughly Modern Millie","Musical","6/6/04",2004,6,7834,421381,62
"6604","American Airlines","Twentieth Century","Play","6/6/04",2004,6,4496,259661,76
"6605","Gershwin","Wicked","Musical","6/6/04",2004,6,12411,953935,100
"6606","Al Hirschfeld","Wonderful Town","Musical","6/6/04",2004,6,6193,396438,54
"6607","Ford Center","42Nd Street '01","Musical","6/13/04",2004,6,10856,592262,75
"6608","Royale","A Raisin In The Sun","Play","6/13/04",2004,6,8210,603913,95
"6609","Palace","Aida","Musical","6/13/04",2004,6,10933,605490,81
"6610","Studio 54","Assassins","Musical","6/13/04",2004,6,7006,429267,96
"6611","Golden","Avenue Q","Musical","6/13/04",2004,6,6283,446043,99
"6612","Lunt-Fontanne","Beauty And The Beast","Musical","6/13/04",2004,6,10307,602884,85
"6613","Broadway","Bombay Dreams","Musical","6/13/04",2004,6,10784,718472,77
"6614","Eugene O'Neill","Caroline, Or Change","Musical","6/13/04",2004,6,6307,407829,75
"6615","Ambassador","Chicago","Musical","6/13/04",2004,6,6905,437785,80
"6616","Minskoff","Fiddler On The Roof 04","Musical","6/13/04",2004,6,8262,534691,61
"6617","Circle In The Square","Frozen","Play","6/13/04",2004,6,4292,166609,83
"6618","Helen Hayes","Golda'S Balcony","Play","6/13/04",2004,6,2519,122159,53
"6619","Neil Simon","Hairspray","Musical","6/13/04",2004,6,11061,912598,97
"6620","Lyceum","I Am My Own Wife","Play","6/13/04",2004,6,4554,228710,81
"6621","Brooks Atkinson","Jumpers","Play","6/13/04",2004,6,4311,234595,56
"6622","Virginia","Little Shop Of Horrors","Musical","6/13/04",2004,6,5639,299226,58
"6623","Cadillac Winter Garden","Mamma Mia!","Musical","6/13/04",2004,6,11943,982475,100
"6624","Lyceum","Marc Salem'S Mind Games","Special","6/13/04",2004,6,238,8933,33
"6625","Richard Rodgers","Movin' Out","Musical","6/13/04",2004,6,8315,610605,79
"6626","Nederlander","Rent","Musical","6/13/04",2004,6,6103,290379,65
"6627","Biltmore","Sight Unseen","Play","6/13/04",2004,6,4645,255931,89
"6628","Ethel Barrymore","Sly Fox","Play","6/13/04",2004,6,6650,352640,79
"6629","Imperial","The Boy From Oz","Musical","6/13/04",2004,6,11441,905076,100
"6630","New Amsterdam","The Lion King","Musical","6/13/04",2004,6,14530,1134409,101
"6631","Majestic","The Phantom Of The Opera","Musical","6/13/04",2004,6,11402,593050,89
"6632","St. James","The Producers","Musical","6/13/04",2004,6,12085,915899,89
"6633","Marquis","Thoroughly Modern Millie","Musical","6/13/04",2004,6,7734,451304,61
"6634","Gershwin","Wicked","Musical","6/13/04",2004,6,15957,1270693,100
"6635","Al Hirschfeld","Wonderful Town","Musical","6/13/04",2004,6,6645,434261,58
"6636","Ford Center","42Nd Street '01","Musical","6/20/04",2004,6,11478,629795,79
"6637","Royale","A Raisin In The Sun","Play","6/20/04",2004,6,8551,614796,99
"6638","Palace","Aida","Musical","6/20/04",2004,6,10337,574380,76
"6639","Studio 54","Assassins","Musical","6/20/04",2004,6,6918,429929,95
"6640","Golden","Avenue Q","Musical","6/20/04",2004,6,6322,465745,99
"6641","Lunt-Fontanne","Beauty And The Beast","Musical","6/20/04",2004,6,10744,646028,89
"6642","Broadway","Bombay Dreams","Musical","6/20/04",2004,6,10084,661081,72
"6643","Eugene O'Neill","Caroline, Or Change","Musical","6/20/04",2004,6,6027,417780,71
"6644","Ambassador","Chicago","Musical","6/20/04",2004,6,7021,441583,81
"6645","Minskoff","Fiddler On The Roof 04","Musical","6/20/04",2004,6,9679,650754,72
"6646","Circle In The Square","Frozen","Play","6/20/04",2004,6,4253,168041,82
"6647","Helen Hayes","Golda'S Balcony","Play","6/20/04",2004,6,2580,125664,55
"6648","Neil Simon","Hairspray","Musical","6/20/04",2004,6,11219,911819,98
"6649","Lyceum","I Am My Own Wife","Play","6/20/04",2004,6,4172,206545,85
"6650","Brooks Atkinson","Jumpers","Play","6/20/04",2004,6,4497,234900,58
"6651","Virginia","Little Shop Of Horrors","Musical","6/20/04",2004,6,6389,332779,66
"6652","Cadillac Winter Garden","Mamma Mia!","Musical","6/20/04",2004,6,11272,929932,94
"6653","Lyceum","Marc Salem'S Mind Games","Special","6/20/04",2004,6,307,14486,43
"6654","Richard Rodgers","Movin' Out","Musical","6/20/04",2004,6,8655,639281,82
"6655","Nederlander","Rent","Musical","6/20/04",2004,6,6325,303514,67
"6656","Biltmore","Sight Unseen","Play","6/20/04",2004,6,4774,262580,92
"6657","Ethel Barrymore","Sly Fox","Play","6/20/04",2004,6,6740,354884,80
"6658","Imperial","The Boy From Oz","Musical","6/20/04",2004,6,11466,982845,100
"6659","New Amsterdam","The Lion King","Musical","6/20/04",2004,6,14536,1143252,101
"6660","Majestic","The Phantom Of The Opera","Musical","6/20/04",2004,6,11276,615941,88
"6661","St. James","The Producers","Musical","6/20/04",2004,6,11982,901480,88
"6662","Marquis","Thoroughly Modern Millie","Musical","6/20/04",2004,6,11101,542112,88
"6663","Gershwin","Wicked","Musical","6/20/04",2004,6,14184,1124528,100
"6664","Al Hirschfeld","Wonderful Town","Musical","6/20/04",2004,6,6510,421928,57
"6665","Ford Center","42Nd Street '01","Musical","6/27/04",2004,6,12693,704872,88
"6666","Royale","A Raisin In The Sun","Play","6/27/04",2004,6,8706,649121,101
"6667","American Airlines","After The Fall","Play","6/27/04",2004,6,3131,158242,85
"6668","Palace","Aida","Musical","6/27/04",2004,6,11674,643261,86
"6669","Studio 54","Assassins","Musical","6/27/04",2004,6,6779,431901,93
"6670","Golden","Avenue Q","Musical","6/27/04",2004,6,6326,458442,99
"6671","Lunt-Fontanne","Beauty And The Beast","Musical","6/27/04",2004,6,11779,692852,98
"6672","Broadway","Bombay Dreams","Musical","6/27/04",2004,6,11565,744249,82
"6673","Eugene O'Neill","Caroline, Or Change","Musical","6/27/04",2004,6,5977,409025,71
"6674","Ambassador","Chicago","Musical","6/27/04",2004,6,8023,528709,93
"6675","Minskoff","Fiddler On The Roof 04","Musical","6/27/04",2004,6,10850,719626,80
"6676","Circle In The Square","Frozen","Play","6/27/04",2004,6,4002,155448,77
"6677","Helen Hayes","Golda'S Balcony","Play","6/27/04",2004,6,2856,136729,61
"6678","Neil Simon","Hairspray","Musical","6/27/04",2004,6,11507,994836,101
"6679","Lyceum","I Am My Own Wife","Play","6/27/04",2004,6,4797,247588,85
"6680","Brooks Atkinson","Jumpers","Play","6/27/04",2004,6,5081,234928,66
"6681","Virginia","Little Shop Of Horrors","Musical","6/27/04",2004,6,7564,407881,78
"6682","Cadillac Winter Garden","Mamma Mia!","Musical","6/27/04",2004,6,11930,1013212,100
"6683","Lyceum","Marc Salem'S Mind Games","Special","6/27/04",2004,6,401,15970,56
"6684","Richard Rodgers","Movin' Out","Musical","6/27/04",2004,6,9280,694450,88
"6685","Nederlander","Rent","Musical","6/27/04",2004,6,8007,376998,85
"6686","Biltmore","Sight Unseen","Play","6/27/04",2004,6,4871,268246,94
"6687","Ethel Barrymore","Sly Fox","Play","6/27/04",2004,6,7254,382468,86
"6688","Imperial","The Boy From Oz","Musical","6/27/04",2004,6,11463,989605,100
"6689","Vivian Beaumont","The Frogs","Musical","6/27/04",2004,6,6071,312750,97
"6690","New Amsterdam","The Lion King","Musical","6/27/04",2004,6,14528,1149929,101
"6691","Majestic","The Phantom Of The Opera","Musical","6/27/04",2004,6,11970,654777,93
"6692","St. James","The Producers","Musical","6/27/04",2004,6,12380,945233,91
"6693","Gershwin","Wicked","Musical","6/27/04",2004,6,14184,1135355,100
"6694","Al Hirschfeld","Wonderful Town","Musical","6/27/04",2004,6,7834,482380,68
"6695","Ford Center","42Nd Street '01","Musical","7/4/04",2004,7,10013,530077,69
"6696","Royale","A Raisin In The Sun","Play","7/4/04",2004,7,8699,659001,101
"6697","American Airlines","After The Fall","Play","7/4/04",2004,7,4948,241216,85
"6698","Palace","Aida","Musical","7/4/04",2004,7,10534,553277,78
"6699","Studio 54","Assassins","Musical","7/4/04",2004,7,6881,409825,94
"6700","Golden","Avenue Q","Musical","7/4/04",2004,7,6256,461806,98
"6701","Lunt-Fontanne","Beauty And The Beast","Musical","7/4/04",2004,7,11269,630183,93
"6702","Broadway","Bombay Dreams","Musical","7/4/04",2004,7,10759,610978,76
"6703","Eugene O'Neill","Caroline, Or Change","Musical","7/4/04",2004,7,5859,347043,69
"6704","Ambassador","Chicago","Musical","7/4/04",2004,7,7179,443669,83
"6705","Minskoff","Fiddler On The Roof 04","Musical","7/4/04",2004,7,8052,495752,60
"6706","Circle In The Square","Frozen","Play","7/4/04",2004,7,3245,133773,62
"6707","Helen Hayes","Golda'S Balcony","Play","7/4/04",2004,7,2347,99917,50
"6708","Neil Simon","Hairspray","Musical","7/4/04",2004,7,10762,853416,94
"6709","Lyceum","I Am My Own Wife","Play","7/4/04",2004,7,3674,189542,65
"6710","Brooks Atkinson","Jumpers","Play","7/4/04",2004,7,5167,184024,67
"6711","Virginia","Little Shop Of Horrors","Musical","7/4/04",2004,7,5582,291960,58
"6712","Cadillac Winter Garden","Mamma Mia!","Musical","7/4/04",2004,7,9067,755804,76
"6713","Lyceum","Marc Salem'S Mind Games","Special","7/4/04",2004,7,520,18244,73
"6714","Richard Rodgers","Movin' Out","Musical","7/4/04",2004,7,8059,554652,76
"6715","Nederlander","Rent","Musical","7/4/04",2004,7,5456,266411,58
"6716","Biltmore","Sight Unseen","Play","7/4/04",2004,7,4809,259853,92
"6717","Ethel Barrymore","Sly Fox","Play","7/4/04",2004,7,6058,285937,72
"6718","Imperial","The Boy From Oz","Musical","7/4/04",2004,7,11388,974850,99
"6719","Vivian Beaumont","The Frogs","Musical","7/4/04",2004,7,8078,419222,97
"6720","New Amsterdam","The Lion King","Musical","7/4/04",2004,7,14544,1163350,101
"6721","Majestic","The Phantom Of The Opera","Musical","7/4/04",2004,7,11702,559573,91
"6722","St. James","The Producers","Musical","7/4/04",2004,7,12779,868091,94
"6723","Gershwin","Wicked","Musical","7/4/04",2004,7,14184,1142867,100
"6724","Al Hirschfeld","Wonderful Town","Musical","7/4/04",2004,7,6147,336602,53
"6725","Ford Center","42Nd Street '01","Musical","7/11/04",2004,7,11648,642447,80
"6726","Royale","A Raisin In The Sun","Play","7/11/04",2004,7,8656,645088,100
"6727","American Airlines","After The Fall","Play","7/11/04",2004,7,5139,263485,88
"6728","Palace","Aida","Musical","7/11/04",2004,7,10300,572213,76
"6729","Studio 54","Assassins","Musical","7/11/04",2004,7,6982,415060,95
"6730","Golden","Avenue Q","Musical","7/11/04",2004,7,6320,469220,99
"6731","Lunt-Fontanne","Beauty And The Beast","Musical","7/11/04",2004,7,10995,668103,91
"6732","Broadway","Bombay Dreams","Musical","7/11/04",2004,7,8522,537977,60
"6733","Eugene O'Neill","Caroline, Or Change","Musical","7/11/04",2004,7,5764,361959,68
"6734","Ambassador","Chicago","Musical","7/11/04",2004,7,7873,503345,91
"6735","Minskoff","Fiddler On The Roof 04","Musical","7/11/04",2004,7,7399,440006,55
"6736","Circle In The Square","Frozen","Play","7/11/04",2004,7,3686,140621,71
"6737","Helen Hayes","Golda'S Balcony","Play","7/11/04",2004,7,2335,107071,50
"6738","Neil Simon","Hairspray","Musical","7/11/04",2004,7,10102,850949,88
"6739","Lyceum","I Am My Own Wife","Play","7/11/04",2004,7,3749,200886,76
"6740","Brooks Atkinson","Jumpers","Play","7/11/04",2004,7,6140,225370,79
"6741","Virginia","Little Shop Of Horrors","Musical","7/11/04",2004,7,5441,303182,56
"6742","Cadillac Winter Garden","Mamma Mia!","Musical","7/11/04",2004,7,10376,888411,87
"6743","Lyceum","Marc Salem'S Mind Games","Special","7/11/04",2004,7,218,8238,31
"6744","Richard Rodgers","Movin' Out","Musical","7/11/04",2004,7,8791,621874,83
"6745","Nederlander","Rent","Musical","7/11/04",2004,7,6906,345377,73
"6746","Biltmore","Sight Unseen","Play","7/11/04",2004,7,4889,268960,94
"6747","Ethel Barrymore","Sly Fox","Play","7/11/04",2004,7,4945,254498,58
"6748","Imperial","The Boy From Oz","Musical","7/11/04",2004,7,10001,876767,100
"6749","Vivian Beaumont","The Frogs","Musical","7/11/04",2004,7,8100,455826,97
"6750","New Amsterdam","The Lion King","Musical","7/11/04",2004,7,14507,1162425,101
"6751","Majestic","The Phantom Of The Opera","Musical","7/11/04",2004,7,11622,623681,90
"6752","St. James","The Producers","Musical","7/11/04",2004,7,12773,873996,94
"6753","Gershwin","Wicked","Musical","7/11/04",2004,7,14184,1142433,100
"6754","Al Hirschfeld","Wonderful Town","Musical","7/11/04",2004,7,6124,369263,53
"6755","Ford Center","42Nd Street '01","Musical","7/18/04",2004,7,12918,707345,89
"6756","American Airlines","After The Fall","Play","7/18/04",2004,7,5291,274112,91
"6757","Palace","Aida","Musical","7/18/04",2004,7,11853,656690,87
"6758","Studio 54","Assassins","Musical","7/18/04",2004,7,7277,445733,99
"6759","Golden","Avenue Q","Musical","7/18/04",2004,7,6346,480750,100
"6760","Lunt-Fontanne","Beauty And The Beast","Musical","7/18/04",2004,7,11280,689508,93
"6761","Broadway","Bombay Dreams","Musical","7/18/04",2004,7,9371,584746,67
"6762","Eugene O'Neill","Caroline, Or Change","Musical","7/18/04",2004,7,6144,371705,73
"6763","Ambassador","Chicago","Musical","7/18/04",2004,7,8320,553742,96
"6764","Minskoff","Fiddler On The Roof 04","Musical","7/18/04",2004,7,9054,580061,67
"6765","Circle In The Square","Frozen","Play","7/18/04",2004,7,3483,141193,67
"6766","Helen Hayes","Golda'S Balcony","Play","7/18/04",2004,7,2763,122773,59
"6767","Neil Simon","Hairspray","Musical","7/18/04",2004,7,10999,930567,96
"6768","Lyceum","I Am My Own Wife","Play","7/18/04",2004,7,4304,230620,76
"6769","Virginia","Little Shop Of Horrors","Musical","7/18/04",2004,7,6323,347261,65
"6770","Cadillac Winter Garden","Mamma Mia!","Musical","7/18/04",2004,7,11205,959111,93
"6771","Lyceum","Marc Salem'S Mind Games","Special","7/18/04",2004,7,423,16225,59
"6772","Richard Rodgers","Movin' Out","Musical","7/18/04",2004,7,9284,668522,88
"6773","Nederlander","Rent","Musical","7/18/04",2004,7,7505,371331,79
"6774","Biltmore","Sight Unseen","Play","7/18/04",2004,7,3703,215683,81
"6775","Ethel Barrymore","Sly Fox","Play","7/18/04",2004,7,6460,338500,76
"6776","Imperial","The Boy From Oz","Musical","7/18/04",2004,7,11461,1021931,100
"6777","Vivian Beaumont","The Frogs","Musical","7/18/04",2004,7,8112,457753,97
"6778","New Amsterdam","The Lion King","Musical","7/18/04",2004,7,14540,1160396,101
"6779","Majestic","The Phantom Of The Opera","Musical","7/18/04",2004,7,11718,635541,91
"6780","St. James","The Producers","Musical","7/18/04",2004,7,11863,880165,87
"6781","Gershwin","Wicked","Musical","7/18/04",2004,7,14184,1166136,100
"6782","Al Hirschfeld","Wonderful Town","Musical","7/18/04",2004,7,7219,433954,63
"6783","Ford Center","42Nd Street '01","Musical","7/25/04",2004,7,12409,684012,86
"6784","American Airlines","After The Fall","Play","7/25/04",2004,7,5164,266698,89
"6785","Palace","Aida","Musical","7/25/04",2004,7,11838,664749,87
"6786","Golden","Avenue Q","Musical","7/25/04",2004,7,6355,483508,100
"6787","Lunt-Fontanne","Beauty And The Beast","Musical","7/25/04",2004,7,11507,721960,95
"6788","Broadway","Bombay Dreams","Musical","7/25/04",2004,7,8625,534944,61
"6789","Eugene O'Neill","Caroline, Or Change","Musical","7/25/04",2004,7,5808,351889,69
"6790","Ambassador","Chicago","Musical","7/25/04",2004,7,8474,578143,98
"6791","Minskoff","Fiddler On The Roof 04","Musical","7/25/04",2004,7,9213,588182,68
"6792","Shubert","Forever Tango '04","Musical","7/25/04",2004,7,3664,167999,31
"6793","Circle In The Square","Frozen","Play","7/25/04",2004,7,3172,129219,61
"6794","Helen Hayes","Golda'S Balcony","Play","7/25/04",2004,7,2693,114316,57
"6795","Neil Simon","Hairspray","Musical","7/25/04",2004,7,10835,916943,95
"6796","Lyceum","I Am My Own Wife","Play","7/25/04",2004,7,4448,238229,79
"6797","Virginia","Little Shop Of Horrors","Musical","7/25/04",2004,7,7049,365805,73
"6798","Cadillac Winter Garden","Mamma Mia!","Musical","7/25/04",2004,7,11265,958079,94
"6799","Lyceum","Marc Salem'S Mind Games","Special","7/25/04",2004,7,461,17449,65
"6800","Richard Rodgers","Movin' Out","Musical","7/25/04",2004,7,9072,660505,86
"6801","Nederlander","Rent","Musical","7/25/04",2004,7,7156,356310,76
"6802","Biltmore","Sight Unseen","Play","7/25/04",2004,7,4205,254336,92
"6803","Ethel Barrymore","Sly Fox","Play","7/25/04",2004,7,6708,359903,79
"6804","Imperial","The Boy From Oz","Musical","7/25/04",2004,7,10027,893974,100
"6805","Vivian Beaumont","The Frogs","Musical","7/25/04",2004,7,7365,475716,88
"6806","New Amsterdam","The Lion King","Musical","7/25/04",2004,7,14534,1164986,101
"6807","Majestic","The Phantom Of The Opera","Musical","7/25/04",2004,7,11741,652880,91
"6808","St. James","The Producers","Musical","7/25/04",2004,7,11610,851395,85
"6809","Gershwin","Wicked","Musical","7/25/04",2004,7,14184,1172927,100
"6810","Al Hirschfeld","Wonderful Town","Musical","7/25/04",2004,7,6355,380654,55
"6811","Ford Center","42Nd Street '01","Musical","8/1/04",2004,8,12143,655853,84
"6812","American Airlines","After The Fall","Play","8/1/04",2004,8,4602,246520,79
"6813","Palace","Aida","Musical","8/1/04",2004,8,12643,721591,93
"6814","Golden","Avenue Q","Musical","8/1/04",2004,8,6334,488695,99
"6815","Lunt-Fontanne","Beauty And The Beast","Musical","8/1/04",2004,8,11724,751644,97
"6816","Broadway","Bombay Dreams","Musical","8/1/04",2004,8,9140,562465,65
"6817","Eugene O'Neill","Caroline, Or Change","Musical","8/1/04",2004,8,5901,343313,70
"6818","Ambassador","Chicago","Musical","8/1/04",2004,8,8492,589727,98
"6819","Belasco","Dracula, The Musical","Musical","8/1/04",2004,8,2636,133879,85
"6820","Minskoff","Fiddler On The Roof 04","Musical","8/1/04",2004,8,8930,556575,66
"6821","Shubert","Forever Tango '04","Musical","8/1/04",2004,8,3663,200121,31
"6822","Circle In The Square","Frozen","Play","8/1/04",2004,8,3041,125912,58
"6823","Helen Hayes","Golda'S Balcony","Play","8/1/04",2004,8,2631,111821,56
"6824","Neil Simon","Hairspray","Musical","8/1/04",2004,8,10609,892116,93
"6825","Lyceum","I Am My Own Wife","Play","8/1/04",2004,8,3549,196935,63
"6826","Virginia","Little Shop Of Horrors","Musical","8/1/04",2004,8,7038,381014,73
"6827","Cadillac Winter Garden","Mamma Mia!","Musical","8/1/04",2004,8,10451,895934,87
"6828","Richard Rodgers","Movin' Out","Musical","8/1/04",2004,8,9192,664178,87
"6829","Nederlander","Rent","Musical","8/1/04",2004,8,7474,377970,79
"6830","Ethel Barrymore","Sly Fox","Play","8/1/04",2004,8,6156,339617,73
"6831","Imperial","The Boy From Oz","Musical","8/1/04",2004,8,11462,1021728,100
"6832","Vivian Beaumont","The Frogs","Musical","8/1/04",2004,8,8096,596162,97
"6833","New Amsterdam","The Lion King","Musical","8/1/04",2004,8,14556,1165664,101
"6834","Majestic","The Phantom Of The Opera","Musical","8/1/04",2004,8,12153,669290,95
"6835","St. James","The Producers","Musical","8/1/04",2004,8,12267,887337,90
"6836","Gershwin","Wicked","Musical","8/1/04",2004,8,14184,1174985,100
"6837","Al Hirschfeld","Wonderful Town","Musical","8/1/04",2004,8,6952,417569,60
"6838","Ford Center","42Nd Street '01","Musical","8/8/04",2004,8,11690,630506,81
"6839","American Airlines","After The Fall","Play","8/8/04",2004,8,5166,273174,89
"6840","Palace","Aida","Musical","8/8/04",2004,8,11391,660569,84
"6841","Golden","Avenue Q","Musical","8/8/04",2004,8,6341,496711,100
"6842","Lunt-Fontanne","Beauty And The Beast","Musical","8/8/04",2004,8,11388,736639,94
"6843","Broadway","Bombay Dreams","Musical","8/8/04",2004,8,8311,500316,59
"6844","Eugene O'Neill","Caroline, Or Change","Musical","8/8/04",2004,8,5180,301414,61
"6845","Ambassador","Chicago","Musical","8/8/04",2004,8,8371,574468,97
"6846","Belasco","Dracula, The Musical","Musical","8/8/04",2004,8,6010,290883,73
"6847","Minskoff","Fiddler On The Roof 04","Musical","8/8/04",2004,8,8763,544071,65
"6848","Shubert","Forever Tango '04","Musical","8/8/04",2004,8,4074,191127,35
"6849","Circle In The Square","Frozen","Play","8/8/04",2004,8,2401,105998,46
