,Year,Month,Week,Total Weekly Gross,Show Title,Theatre,Avg. Ticket Price,Seats Sold,Seats in Theatre
16956,2000,May,49,764078.0,Riverdance - on Broadway,Gershwin Theatre,61.24,12477,1927
16957,2000,May,49,171413.0,Rose,Lyceum Theatre,32.34,5300,924
16958,2000,May,49,492062.0,Saturday Night Fever,Minskoff Theatre,57.3,8588,1686
16959,2000,May,49,364275.0,Swing!,St. James Theatre,46.35,7860,1710
16960,2000,May,49,245677.0,Taller Than a Dwarf,Longacre Theatre,39.05,6292,1091
16961,2000,May,49,238961.0,The Green Bird,Cort Theatre,49.42,4835,1027
16962,2000,May,49,959589.0,The Lion King,Minskoff Theatre,66.11,14514,1793
16963,2000,May,49,450756.0,The Music Man,Neil Simon Theatre,58.5,7705,1330
16964,2000,May,49,685891.0,The Phantom of the Opera,Majestic Theatre,60.02,11428,1607
16965,2000,May,49,251254.0,The Real Thing,Ethel Barrymore Theatre,53.74,4675,1064
16966,2000,May,49,225338.0,The Ride Down Mt. Morgan,Ambassador Theatre,44.15,5104,1109
